"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HMGN1",1.77375418637153e-83,-0.297256608556028,0.037,0.165,3.87636239889635e-79,"Delta","HMGN1"
"UBE2D3",1.81353835363156e-83,-0.280460873852119,0.044,0.177,3.96330671802641e-79,"Delta","UBE2D3"
"HNRNPK",2.26394684039273e-83,-0.321255834750248,0.076,0.231,4.94762942499426e-79,"Delta","HNRNPK"
"RPS19",2.5208183108938e-83,-0.531483396637934,0.244,0.466,5.50899633662731e-79,"Delta","RPS19"
"UQCR11",2.74883299115629e-83,-0.312763532081811,0.017,0.126,6.00729961887295e-79,"Delta","UQCR11"
"BSG",2.93961731598238e-83,-0.363346139269481,0.03,0.152,6.42423968234788e-79,"Delta","BSG"
"YBX1",1.50817881264999e-82,-0.33940904754948,0.079,0.234,3.2959739771653e-78,"Delta","YBX1"
"RPL32",3.92189012179007e-82,-0.470162932099387,0.203,0.405,8.57089867216003e-78,"Delta","RPL32"
"ITGB1",4.03156912013109e-82,-0.503958005363982,0.134,0.315,8.81059115513448e-78,"Delta","ITGB1"
"HOMER2",6.57464091728905e-82,-0.354427841160685,0.023,0.136,1.43682202606435e-77,"Delta","HOMER2"
"EDF1",9.3475301687876e-82,-0.348131750653416,0.045,0.176,2.04280924308684e-77,"Delta","EDF1"
"RPL23AP74",9.87133357699229e-82,-0.471750767192336,0.02,0.13,2.15728123991589e-77,"Delta","RPL23AP74"
"SAT1",1.21027934425038e-81,-0.797076418244502,0.079,0.227,2.64494447892479e-77,"Delta","SAT1"
"CTSA",1.42907258827107e-81,-0.428697728888383,0.013,0.118,3.12309523440759e-77,"Delta","CTSA"
"GUK1",1.75962045658376e-81,-0.261550654755674,0.053,0.19,3.84547454581816e-77,"Delta","GUK1"
"CFL1",3.31401658593464e-81,-0.386703067746758,0.091,0.251,7.24245184690157e-77,"Delta","CFL1"
"HSP90B1",4.40392907059992e-81,-0.346627768918711,0.068,0.214,9.62434659088905e-77,"Delta","HSP90B1"
"NOP53",4.90031092910007e-81,-0.337524799821178,0.032,0.151,1.07091395044553e-76,"Delta","NOP53"
"RPL24",5.78567615688935e-81,-0.455949276902949,0.189,0.396,1.2644016673266e-76,"Delta","RPL24"
"EEF1D",7.4553269327515e-81,-0.405574567384644,0.039,0.165,1.62928714788351e-76,"Delta","EEF1D"
"PCBP2",1.02860022268705e-80,-0.380089586491332,0.028,0.145,2.24790292666027e-76,"Delta","PCBP2"
"SUMO2",1.03033952642868e-80,-0.274346289088214,0.063,0.207,2.25170400105724e-76,"Delta","SUMO2"
"CD151",1.05868505194758e-80,-0.39649369768983,0.038,0.163,2.31365031252625e-76,"Delta","CD151"
"MRFAP1",1.18120852007085e-80,-0.258564248857937,0.042,0.171,2.58141309976284e-76,"Delta","MRFAP1"
"RPL7",1.40800736820616e-80,-0.485816697708871,0.246,0.451,3.07705930247775e-76,"Delta","RPL7"
"FKBP8",1.7671223002306e-80,-0.267610571865635,0.015,0.12,3.86186907492395e-76,"Delta","FKBP8"
"OST4",2.03310387359466e-80,-0.33016762180059,0.045,0.174,4.44314520535378e-76,"Delta","OST4"
